,rating_pt,rating_db
0,0.0,-0.2
1,0.0,-0.2
2,0.0999999999999999,-0.2
3,0.2,0.2
4,-0.1666666666666666,0.0
5,0.1363636363636363,-0.2
6,-0.1,0.0
7,0.0,0.2
8,0.0,-0.2
9,0.0,0.0
10,0.4166666666666666,-0.2
11,0.0,-0.6
12,-0.15,-0.2
13,0.0,0.0
14,-0.5,-0.2
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,-0.1666666666666666,-0.2
20,0.4,0.2
21,0.0,0.0
22,0.1181818181818181,0.2
23,0.0,-0.2
24,0.3666666666666667,0.2
25,0.0,0.0
26,0.0571428571428571,-0.2
27,0.2,0.4
28,0.0,0.0
29,0.5,0.0
30,0.1340909090909091,0.0
31,0.3333333333333333,0.0
32,-0.0533333333333333,-0.2
33,0.0454545454545454,0.0
34,0.0,-0.2
35,-0.25,-0.6
36,-0.05,0.0
37,-0.0255681818181818,0.2
38,0.0,-0.6
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.1363636363636363,-0.2
43,0.5,0.0
44,0.0,0.0
45,0.0,-0.2
46,0.0,0.0
47,-0.2,-0.2
48,0.1363636363636363,0.0
49,0.0999999999999999,-0.2
50,0.2,0.0
51,0.0,0.0
52,-0.1888888888888888,-0.2
53,0.0277777777777777,0.0
54,0.0,0.0
55,0.2,0.2
56,0.0,0.0
57,0.25,-0.4
58,0.0,0.0
59,-0.25,-0.2
60,0.0,-0.2
61,-0.15,-0.2
62,0.0,0.0
63,0.0,0.0
64,0.0,-0.2
65,0.0,-0.6
66,0.0,-0.4
67,0.0,0.0
68,0.0454545454545454,-0.4
69,-0.3,-0.2
70,0.034090909090909,-0.2
71,0.575,0.2
72,0.0,0.0
73,0.0,0.0
74,0.4,0.0
75,0.0,0.2
76,-0.2,0.4
77,-0.0625,-0.6
78,-0.0255681818181818,0.2
79,-0.1888888888888888,-0.2
80,0.0277777777777777,-0.2
81,0.0375,0.0
82,0.0,-0.2
83,0.0,0.0
84,0.1363636363636363,0.0
85,0.0,0.0
86,-0.6,-0.4
87,0.0,0.0
88,0.0,0.0
89,0.0,0.2
90,0.0,0.4
91,0.0,0.0
92,0.0,0.0
93,0.25,0.2
94,-0.1,0.0
95,0.3333333333333333,-0.6
96,1.0,0.4
97,0.0,0.0
98,0.0,0.0
99,0.5,0.2
100,0.0,0.2
101,0.45,-0.2
102,-0.2,-0.2
103,0.0,0.0
104,0.0,-0.2
105,0.0,0.0
106,0.0,0.0
107,0.0,-0.2
108,-0.3,-0.2
109,-0.0124999999999999,-0.4
110,0.0571428571428571,-0.2
111,0.0,-0.2
112,0.0,-0.2
113,0.0,0.0
114,0.0,0.0
115,0.0,-0.2
116,0.0,-0.2
117,-0.3,0.2
118,0.15,0.0
119,-0.5,-0.2
120,-0.0125,0.0
121,-0.25,-0.2
122,0.0,-0.2
123,0.0,0.2
124,0.05,-0.2
125,-0.2,0.2
126,-0.15,-0.2
127,0.5,0.0
128,0.0,0.0
129,0.0,-0.2
130,0.0,-0.2
131,0.05,0.0
132,0.0,0.0
133,0.0,0.0
134,-0.0666666666666666,0.0
135,0.0,0.0
136,-1.0,-0.4
137,0.575,0.2
138,0.0,0.0
139,0.0,0.0
140,0.1666666666666666,0.2
141,0.0,0.2
142,0.0,0.2
143,0.0,-0.2
144,0.0,0.0
145,0.0662878787878787,-0.2
146,0.1363636363636363,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,-0.25,-0.8
151,0.0,-0.2
152,0.0,0.4
153,0.0,0.0
154,0.0,-0.4
155,0.0,0.2
156,0.15,0.0
157,-0.2,0.4
158,0.0,-0.4
159,-0.0125,-0.2
160,0.0142857142857142,-0.2
161,0.0,0.0
162,0.4333333333333333,0.4
163,0.05,0.0
164,-0.4,0.0
165,0.0,0.2
166,0.0,-0.2
167,0.0,-0.2
168,-0.2,-0.2
169,0.0,0.2
170,0.15,0.0
171,0.0,0.0
172,-0.1,0.0
173,0.0,0.0
174,-0.0833333333333333,0.0
175,0.5,0.2
176,0.0,-0.2
177,0.3,0.2
178,0.03125,0.0
179,-0.3,0.0
180,0.0,-0.2
181,0.0,0.2
182,0.0,0.0
183,0.0,0.0
184,0.0,0.2
185,0.0,0.0
186,0.0392857142857142,0.0
187,-0.1833333333333333,-0.2
188,0.1,0.2
189,0.203125,0.2
190,-0.3,0.2
191,0.5,0.4
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.1,0.0
196,-0.3166666666666666,0.0
197,0.1,0.0
198,0.0,0.0
199,0.0,-0.6
200,0.0,0.0
201,0.0,-0.2
202,0.1380952380952381,0.0
203,0.0,-0.4
204,-0.4499999999999999,-0.2
205,0.0,-0.2
206,0.0,-0.2
207,-0.6,-0.2
208,0.0,0.0
209,0.0,-0.2
210,0.0,-0.2
211,0.0,0.0
212,0.0,0.0
213,0.0,-0.2
214,0.0,-0.2
215,-0.0555555555555555,-0.2
216,-0.1,0.2
217,0.0333333333333333,-0.2
218,0.0,-0.2
219,0.0,0.0
220,-0.0151515151515151,0.0
221,0.0,0.0
222,-0.1666666666666666,-0.2
223,0.0,0.2
224,0.0,0.0
225,-0.275,-0.6
226,0.0,-0.2
227,0.0,0.0
228,0.0,0.0
229,0.0,-0.2
230,0.0,-0.2
231,0.0,0.2
232,0.05,0.0
233,0.0,-0.2
234,0.2,0.0
235,0.15,0.0
236,0.0,0.2
237,0.0625,0.0
238,0.5,0.2
239,0.0,0.0
240,0.1,-0.2
241,0.0,0.2
242,-0.5,-0.2
243,0.1,-0.2
244,0.0,0.0
245,0.0,-0.2
246,0.0392857142857142,0.0
247,0.0,0.0
248,-1.0,-0.4
249,0.0,0.0
250,-0.3,0.0
251,1.0,0.4
252,0.1944444444444444,0.0
253,0.0916666666666666,0.0
254,0.0,0.2
255,0.0,0.0
256,0.353125,0.6
257,0.0,0.2
258,0.0,0.0
259,0.0,0.0
260,-0.425,-0.2
261,0.0,0.0
262,0.0,0.0
263,-0.1875,-0.2
264,0.0,0.0
265,0.0,0.0
266,0.0,0.2
267,0.05,0.0
268,0.0,0.0
269,0.0,-0.2
270,-0.4,0.0
271,0.0,0.0
272,0.0,-0.4
273,0.0,-0.6
274,-0.0833333333333333,0.0
275,0.3,0.2
276,0.0,0.0
277,0.2,0.2
278,0.2,0.2
279,0.0,0.0
280,0.0,0.0
281,0.0,-0.2
282,-0.175,0.0
283,0.1363636363636363,-0.4
284,0.0,-0.2
285,0.0,-0.2
286,-0.05,0.2
287,-0.2,0.0
288,0.1,-0.2
289,0.0392857142857142,0.0
290,0.85,0.2
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,-0.2
295,0.0,-0.4
296,0.1363636363636363,0.0
297,0.0,0.2
298,0.0,0.0
299,0.0,0.2
300,-0.3,-0.2
301,-0.5,-0.2
302,-0.1,0.0
303,0.0,0.0
304,0.0,0.0
305,0.1,0.0
306,-0.05,0.0
307,0.3,0.2
308,-0.175,-0.2
309,0.75,0.2
310,0.15,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,-0.2
314,0.0,0.0
315,0.3,0.0
316,0.0,-0.2
317,-0.125,0.0
318,-0.5,-0.4
319,-0.5,-0.2
320,-0.3,0.0
321,0.0,0.0
322,-0.3,-0.2
323,0.05,0.0
324,0.3,0.2
325,0.15,0.0
326,0.0,-0.2
327,0.0625,0.0
328,0.05,0.0
329,0.0931818181818181,0.0
330,0.0,0.0
331,-0.2,0.0
332,0.0681818181818181,-0.2
333,0.0,0.0
334,0.05,0.0
335,-0.25,-0.2
336,-0.3,0.2
337,0.0,0.0
338,-0.425,-0.2
339,0.0,0.0
340,0.5,-0.4
341,0.0,0.4
342,-0.5,-0.2
343,0.0,0.2
344,-0.075,-0.4
345,0.35,0.2
346,-0.6,-0.4
347,0.05,0.0
348,0.0,0.0
349,-0.5,-0.2
350,0.0,0.0
351,0.353125,0.6
352,0.225,0.2
353,0.1944444444444444,0.0
354,0.0,0.0
355,-0.125,0.0
356,0.8,0.2
357,0.2,-0.2
358,0.15,0.4
359,0.0,0.4
360,-0.25,-0.4
361,0.4,-0.4
362,0.1111111111111111,0.2
363,0.0,0.0
364,0.2,0.0
365,0.6,0.0
366,0.0625,0.0
367,1.0,0.4
368,0.0,0.0
369,0.0,-0.2
370,0.0,0.0
371,0.0,0.0
372,0.0,0.0
373,0.0,-0.2
374,0.7333333333333334,0.4
375,-0.2,0.0
376,0.1,0.0
377,0.15,0.2
378,0.0,-0.2
379,-0.25,0.0
380,-0.0833333333333333,0.0
381,-0.2,-0.2
382,0.0,0.0
383,0.0,-0.2
384,0.1363636363636363,-0.2
385,0.0,0.0
386,0.0,-0.2
387,-0.4,0.0
388,0.0,0.0
389,0.0,0.2
390,-0.25,-0.4
391,0.3666666666666667,0.2
392,0.0,-0.2
393,0.0,-0.4
394,0.2272727272727272,0.0
395,0.05,0.0
396,0.25,0.0
397,0.0,0.0
398,-0.25,-0.2
399,-0.5,-0.2
400,0.05,0.0
401,0.0,0.0
402,-0.425,-0.2
403,0.0065656565656565,0.0
404,0.0,0.0
405,-0.1666666666666666,0.0
406,-0.05,0.0
407,0.15,0.0
408,0.5416666666666666,0.6
409,0.4,-0.4
410,0.0,-0.2
411,-0.1818181818181818,-0.4
412,0.5,0.0
413,-0.3333333333333333,-0.2
414,0.0,0.4
415,0.0,0.0
416,0.0,0.2
417,0.0,0.0
418,0.2,0.0
419,0.0,0.0
420,0.0,-0.2
421,0.0,-0.2
422,0.0,0.0
423,-0.1666666666666666,0.0
424,0.0,-0.4
425,0.0,0.0
426,-0.0714285714285714,-0.4
427,0.05,0.0
428,-0.2,-0.2
429,0.0,0.0
430,0.0,-0.2
431,-0.5,-0.6
432,0.0,-0.2
433,-0.1818181818181818,-0.6
434,-0.5,-0.6
435,0.3571428571428571,0.0
436,0.1363636363636363,0.0
437,0.0,0.0
438,-0.0833333333333333,0.0
439,0.1,0.0
440,0.225,0.4
441,0.2467532467532467,0.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.0
445,0.3571428571428571,0.0
446,0.3571428571428571,0.0
447,0.0,0.0
448,0.0,-0.2
449,0.5,0.0
450,0.2,0.4
451,0.0,0.0
452,0.0,-0.2
453,0.0,0.0
454,-0.125,-0.4
455,0.0,0.0
456,0.0,0.2
457,-0.0378787878787878,0.0
458,0.0,-0.2
459,-0.0625,-0.2
460,-0.1,0.2
461,0.0,-0.2
462,-0.0151515151515151,0.0
463,0.5,-0.2
464,-0.2,-0.4
465,0.0,0.0
466,0.0,0.0
467,-0.0818181818181818,0.0
468,0.0181818181818181,0.0
469,0.0,-0.2
470,0.3571428571428571,0.0
471,-0.075,0.0
472,-0.1,0.0
473,0.0,-0.8
474,-0.0318181818181818,-0.2
475,0.1363636363636363,-0.2
476,-0.25,0.0
477,0.1363636363636363,0.0
478,0.3333333333333333,0.0
479,0.25,0.2
480,0.0,0.0
481,0.1999999999999999,-0.2
482,0.0,0.0
483,0.15,0.2
484,0.0,-0.2
485,0.1363636363636363,-0.2
486,0.3666666666666667,0.2
487,0.0,0.0
488,0.0,-0.2
489,0.0,0.0
490,0.0,-0.2
491,0.4333333333333334,0.0
